index,hash,aspect_pos,aspect_pos_string,stance,topic,sentence
370,72fc507e68f4bf0b50bc86f0d5f1aaee,"['(43,30)', '(92,22)', '(260,10)', '(277,11)']","['crops are frequently destroyed', 'eradication treatments', 'destroying', 'livelihoods']",Argument_for,marijuana legalization,"In some regions , farmers ' coca and other crops are frequently destroyed by U.S.-sponsored eradication treatments ( usually sprayed from the air with varying degrees of discrimination ) , whether or not the farmers directly supply the cocaine trade , thereby destroying their livelihoods ."
371,a20d2a566e9b75e90ce81295bbfe6528,"['(33,18)', '(81,5)', '(91,7)']","['younger the person', 'worse', 'effects']",Argument_against,marijuana legalization,"The study also reported that the younger the person starts using marijuana , the worse the effects become ."
372,87df66e0f1ca3a0544aece6765358af8,"['(28,15)', '(76,16)', '(103,12)']","['harmful effects', 'criminal conduct', 'gateway drug']",Argument_against,marijuana legalization,"In addition to marijuana ’s harmful effects on the body and relationship to criminal conduct , it is a gateway drug that can lead users to more dangerous drugs ."
373,ff042b4df7e14f95d481ab0d941c0118,"['(96,23)', '(131,28)']","['unintended consequences', 'negatively impact businesses']",Argument_against,minimum wage,"Though $ 10.10 might make low-income workers ' eyes light up , it would also come with a lot of unintended consequences that could negatively impact businesses , investment in businesses , and middle-class American families ."
374,86b97e88612278fdd8a9c6d3205c118e,"['(57,4)', '(70,13)']","['even', 'playing field']",Argument_for,minimum wage,"“ A minimum wage increase at the federal level will help even out the playing field a little bit , ” she said ."
375,57afef858275730108d139ed0c581417,"['(149,4)', '(157,15)']","['drop', 'teen employment']",Argument_against,minimum wage,"Another 2011 study by Sen , Rybczynski , and Van De Waal found that "" a 10 % increase in the minimum wage is significantly correlated with a 3 − 5 % drop in teen employment . """
376,dcedc72dfcf5356f37dc1f5e10fafa97,"['(66,7)', '(90,21)', '(159,6)']","['drastic', 'planning and patience', 'doable']",Argument_for,minimum wage,"In other words , while jumping straight to $ 15/hour might be too drastic a change , with planning and patience , even by more conservative estimates it seems doable ."
377,b854909cba45031dda04012b336042be,"['(33,18)', '(72,7)', '(84,29)', '(144,28)']","['low-wage employers', 'finance', 'Employment Policies Institute', 'studies opposing the minimum']",Argument_against,minimum wage,"On the other side of the issue , low-wage employers such as restaurants finance the Employment Policies Institute , which has released numerous studies opposing the minimum wage ."
378,a173f5bfaab5b804893e076ade3e4ad5,"['(101,29)', '(175,16)', '(195,9)']","['supported raising the federal', 'future increases', 'inflation']",Argument_for,minimum wage,"Ninety-two percent of Democrats , 71 percent of independents and 43 percent of Republicans said they supported raising the federal minimum wage to $ 9.00 an hour and indexing future increases to inflation ."
379,12b51f7d5b6426b647938a778bd8a486,"['(0,17)', '(36,9)', '(149,7)']","['Consumer spending', 'extra pay', 'economy']",Argument_for,minimum wage,"Consumer spending uptick : Lastly , extra pay in the pockets of some 16.5 million workers could trickle down to retailers and provide a boost to the economy ."
380,62641fc312f38910bd25a52dbafb098e,"['(31,17)', '(52,18)']","['medical treatment', 'Multiple Sclerosis']",Argument_for,marijuana legalization,( + ) Legally approved for the medical treatment of Multiple Sclerosis .
381,a6fe0fb7f3b7cc6c80829a74459b5220,"['(162,8)', '(171,23)', '(209,12)']","['improved', 'regulation of marijuana', 'tax revenues']",Argument_for,marijuana legalization,"With four states and Washington , D.C. having passed measures to permit the use of marijuana for personal use , 27 % of supporters say legalization would lead to improved regulation of marijuana and increased tax revenues ."
382,7748ac85b54a17807ec9f6fdd8dabdce,"['(64,13)']",['total failure'],Argument_for,marijuana legalization,“ The government ’s efforts to combat illegal drugs have been a total failure . ”
383,e548c169ef7708751a98b1ae13a023ee,"['(94,16)']",['subsequent abuse'],Argument_for,marijuana legalization,There is no conclusive evidence that the drug effects of marijuana are causally linked to the subsequent abuse of other illicit drugs .
384,838d9ee897325cb8e58203af19092bce,"['(51,5)', '(61,18)']","['legal', 'medicinal purposes']",Argument_for,marijuana legalization,There are places in California where it 's already legal for medicinal purposes .
385,0e69f6c62329a9f81521fdd27d768644,"['(41,14)', '(97,22)', '(126,38)']","['basic expenses', 'reliance on government', 'state-sponsored financial-aid programs']",Argument_for,minimum wage,"More workers being able to pay for their basic expenses is a good thing , as it may lead to less reliance on government - and state-sponsored financial-aid programs ."
386,01fbca53ef55bf011384a4b5dc95bab1,"['(48,9)', '(82,16)']","['work hard', 'support a family']",Argument_for,minimum wage,"In his speech , the President stated , “ If you work hard , you should be able to support a family . ”"
387,7bbcc2bc2dbf27b6b1c52679053a18ef,"['(75,19)']",['uncharted territory'],Argument_against,minimum wage,"Smaller minimum wage hikes in the past were n’t too damaging , but $ 15 is uncharted territory ."
388,9446dabf1f9d0bd35649080989a7158c,"['(231,11)', '(247,23)']","['unfavorable', 'impoverished households']",Argument_against,minimum wage,"Thomas Grennes , MA , Professor Emeritus at North Carolina State University , and Andris Strazds , MSc , Lecturer at the Stockholm School of Economics in Riga ( Latvia ) , stated : "" the net effect of higher minimum wages would be unfavorable for impoverished households , even if there are no job losses ."
389,28d674465bb14dfbf55934e32692dcae,"['(81,15)', '(100,10)']","['reduce the city', 'employment']",Argument_against,minimum wage,"San Francisco 's Office of Economic Analysis said that an increase to $ 15 would reduce the city 's employment by about "" 15,270 private sector jobs . """
390,f9150d319fdcba2566dcc8ea1de90776,"['(100,31)', '(156,28)']","['centralization of Federal power', 'unlimited form of government']",Argument_against,minimum wage,"He , like many others , argued the bill was putting the United States on the road to "" the complete centralization of Federal power "" and the creation of "" unlimited form of government . """
391,71b132c4b49a374114a4aea9803c601b,"['(21,13)', '(102,26)']","['new customers', 'treat our employees fairly']",Argument_for,minimum wage,“ We ’ve gained many new customers who have written us notes telling us how grateful they are that we treat our employees fairly .
392,94054c2c276f997011cca6c2cc1b6a41,"['(42,16)', '(59,7)', '(107,11)']","['targeted towards', 'militia', 'individuals']",Argument_for,gun control,"The 2nd Amendment of the Constitution was targeted towards militia , e.g. the National Guard , rather than individuals ."
393,5aa82600e98f7c72e56007fceac194cc,"['(16,9)', '(93,3)', '(97,16)']","['dishonest', 'one', 'extreme position']",Argument_against,gun control,This article is dishonest in that it lumps all gun control advocates ( and gun owners ) into one extreme position .
394,6b51a45034511b4c30c1c2344d8e9e91,"['(2,31)', '(100,9)', '(113,18)']","['psychopathic Federal Government', 'firepower', 'destroy the planet']",Argument_against,gun control,"A psychopathic Federal Government would have the entire US Army at its disposal , along with enough firepower to destroy the planet several times over ."
395,18f251af0afa78419c084d53c8e53efb,"['(57,30)', '(122,13)', '(169,30)']","['refuse temporary accommodation', 'physical harm', 'refuse temporary accommodation']",Argument_against,abortion,"It is argued that just as it would not be permissible to refuse temporary accommodation for the guest to protect him from physical harm , it would not be permissible to refuse temporary accommodation of a fetus ."
396,c90c18bbecd1df1cd4948d170ae9ccb5,"['(36,11)', '(50,10)', '(67,7)', '(78,8)', '(91,7)']","['infanticide', 'euthanasia', 'killing', 'retarded', 'elderly']",Argument_against,abortion,"The “ abortion mentality ” leads to infanticide , euthanasia , and killing of retarded and elderly persons ."
397,4fe7bb02e9f5314655bb54d3d0e52524,"['(8,32)', '(62,20)']","['complete reproductive healthcare', 'right to an abortion']",Argument_for,abortion,"We need complete reproductive healthcare , which includes the right to an abortion . """
398,10b76c2625c471404bed838ffb274a82,"['(33,18)']",['societal pressures'],Argument_against,abortion,Some abortions happen because of societal pressures .
399,4df59a3d13549d64c0d667919747d7c7,"['(60,14)', '(77,4)']","['ending a human', 'life']",Argument_against,abortion,Abortion is is not just taking out a “ fetus ” it is simply ending a human a life .
400,bf5d17fa0b5d8e76c64a71bf35d664c9,"['(24,13)', '(59,31)']","['right to life', 'mitigate the risk to her person']",Argument_for,abortion,In line with a woman ’s right to life is also her right to mitigate the risk to her person .
401,449dfd9b8968b282b49fba1384f6d602,"['(63,11)', '(89,15)', '(134,18)']","['vigilantism', 'innocent people', 'killed out of fear']",Argument_for,gun control,"As we saw during the Trayvon Martin tragedy , such attempts at vigilantism can result in innocent people ( including children ) being killed out of fear ."
402,6ed71a2ccf6c855e35a2666bd9c90541,"['(66,8)', '(129,20)']","['mis-used', 'insignificant impact']",Argument_against,gun control,"2 ) Many gun control measures focus on scary looking , but rarely mis-used categories of weapons and such measures would have an insignificant impact on gun crime ( but drive a wedge between control advocates and rational gun owners ) ."
403,650bd1074cb1a466f28aed91dca04189,"['(34,5)', '(46,10)', '(57,8)', '(101,6)', '(111,14)']","['cheap', 'relatively', 'detached', 'method', 'killing people']",Argument_for,gun control,"Guns give people a quick , easy , cheap , and relatively detached ( compared to stabbings/beatings ) method of killing people — even large numbers of people ."
404,94a557c6f46b77bb511708b9872231aa,"['(22,6)']",['deaths'],Argument_for,nuclear energy,"In their comparison , deaths per TW-yr of electricity produced from 1970 to 1992 are quoted as 885 for hydropower , 342 for coal , 85 for natural gas , and 8 for nuclear ."
405,0310a214b9c16d76dcdf286ce658949e,"['(27,10)', '(115,18)']","['government', 'nuclear fuel cycle']",Argument_against,nuclear energy,It is futile to expect the government on its own - whatever its platform may be - to readily oppose aspects of the nuclear fuel cycle .
406,1d3548f163f4c4e12caa3dbc07ce53ff,"['(75,15)']",['dangerous waste'],Argument_against,nuclear energy,"Building new nuclear plants would mean the production of much more of this dangerous waste with no where for it to go . """
407,32586ee3ba9f1c775f9480630b990b07,"['(42,19)', '(86,14)', '(194,15)']","['underlying problems', 'mass shootings', 'goal of banning']",Argument_against,gun control,"Instead of actually trying to address the underlying problems that spark the horrific mass shootings , the Democratic party is using each of these events as an excuse to further their long-time goal of banning all firearms except for law enforcement and government agents ."
408,fd08d3e02584fd7bbe59744c915b6580,"['(0,13)', '(21,16)', '(88,8)']","['Gun accidents', 'improper storage', 'children']",Argument_for,gun control,Gun accidents due to improper storage or use of firearms claim the lives of hundreds of children a year .
409,e9dc2d3eaf1ddf8801f74df9cde00dba,"['(9,26)', '(132,17)']","['senseless acts of violence', 'special interests']",Argument_for,gun control,How many senseless acts of violence in our streets or tragedies in our communities will it take to get our nation to stop caving to special interests like the NRA when people are dying ?
410,e0f3026030fc312c62a7f8a49354569a,"['(33,13)']",['morally wrong'],Argument_against,marijuana legalization,Some consider use of the drug as morally wrong .
411,fddad80d3837842cf2d8442dbd8604c8,"['(87,15)']",['health benefits'],Argument_for,marijuana legalization,The decriminalization of weed would allow more people to use the drug for its believed health benefits .
412,9b196ba892405281bc3668faeac0e280,"['(24,16)']",['helpful medicine'],Argument_for,marijuana legalization,They say marijuana is a helpful medicine .
413,5779cbc3741e4f430254999b9ce6ccf5,"['(48,5)', '(54,25)']","['drugs', 'accessibility to children']",Argument_against,marijuana legalization,"So , any time marijuana use is made legal , the drugs accessibility to children will increase ."
414,24ffb34cc8b1774c7d3f362435d9e164,"['(19,7)', '(44,9)', '(68,4)']","['default', 'taxpayers', 'bill']",Argument_against,nuclear energy,"When the utilities default on these loans , taxpayers will foot the bill ."
415,2c88cdc1357d19c4309cba81ad042fde,"['(39,15)', '(73,15)', '(96,17)']","['nuclear weapons', 'political cover', 'technical support']",Argument_for,nuclear energy,"Of the 10 nations which have developed nuclear weapons ‘ six did so with political cover and/or technical support from their supposedly peaceful nuclear program – India , Pakistan , Israel , South Africa , North Korea and France ’ 3 ."
416,e2ea4de2e16afdbbf574d061da58180a,"['(10,14)', '(64,4)', '(80,9)', '(97,14)', '(123,9)']","['family members', 'find', 'entangled', 'justice system', 'long time']",Argument_against,death penalty,"As such , family members and loved ones of murder victims often find themselves entangled in the justice system for a very long time ."
417,be32e4d8ba0951d64c51432daf141658,"['(52,8)', '(73,5)', '(83,7)']","['tradeoff', 'risks', 'rewards']",Argument_against,gun control,You are the best person to realistically assess the tradeoff between the risks and rewards of gun ownership and decide what the best course of action is for your family .
418,8627a4080c9cbe50a5209765ce66dd88,"['(90,7)', '(98,5)', '(108,17)']","['highest', 'total', 'per capita number']",Argument_for,gun control,"The United States has 88.8 guns per 100 people , or about 270,000,000 guns , which is the highest total and per capita number in the world ."
419,7f706fe34514f02aae741da61530943a,"['(40,16)', '(77,9)', '(103,16)']","['licensing system', 'untrained', 'high-risk people']",Argument_for,gun control,We think it equally important to have a licensing system in place to prevent untrained and potentially high-risk people from driving in the first place .
420,75d40cf45a656021e051df4e761d4892,"['(24,25)', '(59,8)', '(72,6)']","['protect American citizens', 'military', 'police']",Argument_against,gun control,The 2nd Amendment is to protect American citizens FROM the military and police .
421,de3edad110ec0b8e670cd81bbc4a818c,"['(42,9)', '(55,20)']","['diversity', 'minimum wage earners']",Argument_for,minimum wage,"For starters , I had never considered the diversity of minimum wage earners — this swath of the workforce is made up of teenagers working first jobs , older workers supplementing their income and , yes , people who are truly struggling to make ends meet ."
422,34da32de2c9299ecbc80d50d006d5f42,"['(57,15)', '(93,10)', '(125,5)']","['hurt businesses', 'profitable', 'value']",Argument_against,minimum wage,It is commonly argued that raising the minimum wage will hurt businesses by making them less profitable and decreasing their value to shareholders .
423,30676f24d51bd8027b31966c928f6592,"['(8,12)', '(36,16)']","['reaches half', 'intended to help']",Argument_against,minimum wage,It only reaches half of those it is intended to help and not in a positive way .
424,05e8da0ce16940791c80e6efce1a0c21,"['(156,21)']",['Minimum Wage Fairness'],Argument_for,minimum wage,"Source : Bernie 2016 , "" A Living Wage , "" berniesanders.com ( accessed Nov. 23 , 2015 ) [ Editor 's Note : In 2014 , Senator Sanders voted in favor of the Minimum Wage Fairness Act ( S. 2223 ) , which would have raised the federal minimum wage to $ 10.10 after two years . ]"
425,2f846f181bf85271fe18e835b9c51cb6,"['(103,8)']",['finances'],Argument_for,minimum wage,"While making a dollar more an hour may not sound like much to many of us , for someone who is tight on finances that forty dollars a week can really add up ."
426,18334eceb4bcfc365a9082a5ceba2f92,"['(50,5)', '(56,15)', '(72,5)']","['human', 'life has little', 'value']",Argument_against,abortion,The legalization of abortion sends a message that human life has little value .
427,c5df238209bcc8577ffdffe714f64d5d,"['(4,12)', '(76,11)', '(99,26)']","['loss of life', 'deprives us', 'experiences and enjoyments']",Argument_against,abortion,"The loss of life is the greatest possible loss anyone can suffer because it deprives us of all the experiences and enjoyments that otherwise would have been part of our futures , which we now value or would have come to value ."
428,28b418061292dd8262baaa23c70c3264,"['(22,17)', '(72,6)']","['fetus is a person', 'murder']",Argument_against,abortion,"In Case 1 , where the fetus is a person and you know that , abortion is murder ."
429,66f1b7e908b5c6f1eada4ef986227ecf,"['(30,22)', '(59,23)', '(92,8)', '(101,28)']","['wrath of their parents', 'embarrassment at school', 'lifetime', 'responsibility of motherhood']",Argument_for,abortion,"They may not want to face the wrath of their parents , the embarrassment at school , or the lifetime responsibility of motherhood ."
430,7224898d4603203020df6bc6ccd99f18,"['(21,9)', '(71,22)', '(113,4)', '(135,20)', '(255,23)']","['unplanned', 'reliable contraception', 'rape', 'health of the mother', 'health is deteriorating']",Argument_for,abortion,"Most pregnancies are unplanned because of issues with access to highly reliable contraception , but some will be rape and some will be health of the mother , i.e. , women who had n't planned on getting pregnant and are happy they are pregnant , but their health is deteriorating ."
431,888e9d323a3f1758a69db19532721518,"['(17,14)']",['emotional bond'],Argument_against,abortion,Women develop an emotional bond with a child when they carry it through the full term and go through the experience of delivery .
432,fbc763b49757bf751de959670d8ff286,"['(24,13)', '(55,18)']","['daughter feel', 'killed her sibling']",Argument_against,abortion,Example : How does your daughter feel knowing that you killed her sibling ?
433,1333d11b20a74963b2f786b94b4a08bb,"['(177,14)', '(311,16)']","['designer child', 'akin to property']",Argument_against,cloning,"Because cloning involves the artificial process of recreating a pre-existing genetic code , prospective parents could , first , choose their child ’s DNA ( thereby creating a “ designer child ” ) , and , second , because they are creating a “ replica ” of an existing person , they will consider the child more akin to property than an individual in her own right ."
434,97a02612ec2b653100601f7ba5026323,"['(23,15)', '(67,15)']","['premature aging', 'premature death']",Argument_against,cloning,"This would then create premature aging issues and potentially even premature death , all because of the cloning process ."
435,dceb7308d5640a244acb1661afee36b1,"['(18,21)', '(124,35)']","['mitochondrial disease', 'messed-up mitochondrial DNA remains']",Argument_against,cloning,"Trying to treat a mitochondrial disease by turning back the clock on an adult cell 's genome would do nothing , because the messed-up mitochondrial DNA remains in the iPS cell ."
436,f32c2e4328dd33e0b24c57a4a3a9db86,"['(16,12)', '(33,15)', '(54,18)']","['productivity', 'economic growth', 'outpaced increases']",Argument_for,minimum wage,Improvements in productivity and economic growth have outpaced increases in the minimum wage .
437,835370de60b4d2faa52a6841823a99da,"['(59,17)', '(102,7)', '(126,12)']","['disposable income', 'economy', 'creates jobs']",Argument_for,minimum wage,"Proponents of minimum wages argue that giving workers more disposable income puts money back into the economy , which in turn creates jobs ."
438,d9890aa069fbb48d633fd1c75d5e47de,"['(115,6)', '(122,3)', '(138,4)', '(151,4)']","['widest', 'gap', 'rich', 'poor']",Argument_for,minimum wage,In 2012 the richest 1 % of the US population earned 22.83 % of the nation 's total pre-tax income resulting in the widest gap between the rich and the poor since the 1920s .
439,29259a7f24d50446c300d697e955c761,"['(86,9)', '(100,16)', '(145,14)']","['education', 'job preparedness', 'proven success']",Argument_against,minimum wage,"The better approach , according to minimum wage hike opponents , is to put money into education and job preparedness plans , which they say have proven success records ."
440,9a2a6a7649c9357c6d43823472e23b45,"['(113,16)', '(133,9)']","['purchasing power', 'inflation']",Argument_for,minimum wage,"Between July 2015 and the last increase in the minimum wage in 2009 , the federal minimum wage lost 8.1 % of its purchasing power to inflation ."
441,32ceab97401e54203924ad0886c16e1d,"['(56,7)']",['poverty'],Argument_against,minimum wage,It would not lift anywhere near that many people out of poverty .
442,03e3964bf15a437bffcc1043fd1019cf,"['(113,10)', '(124,16)']","['recklessly', 'high wage-floors']",Argument_against,minimum wage,"Economists ' opposition to specific minimum-wage hikes is sometimes due to concerns that politicians will impose recklessly high wage-floors , which firms may find difficult to absorb without laying people off ."
443,8028d703241a0d198a0b7c548b91cd0e,"['(39,23)', '(71,28)']","['reproduced successfully', 'healthy babies that survived']",Argument_for,cloning,"Same as with animal clones , many have reproduced successfully and had healthy babies that survived through their adulthood ."
444,918799bf806c3bc3e01a8a9ac5247f06,"['(64,18)', '(95,20)']","['activate oncogenes', 'cancer-causing genes']",Argument_against,cloning,"However , if a virus is used as a reprogramming factor , it may activate oncogenes , which are cancer-causing genes ."
445,b49c8265f2ccf5458449549304a18060,"['(28,17)', '(61,10)', '(110,16)', '(135,10)']","['better technology', 'stem cells', 'tissue rejection', 'stem cells']",Argument_for,cloning,"Cloning , they claim , is a better technology for harvesting stem cells because it could mitigate problems of tissue rejection , since stem cells are cloned from the patient 's own body ."
446,82a9c3da63d7315b261863f7cf0c6689,"['(41,6)', '(63,12)', '(78,11)', '(100,23)']","['failed', 'miscarriages', 'stillbirths', 'life-threatening events']",Argument_against,cloning,"Ninety-five percent of cloning done have failed in the form of miscarriages , stillbirths and other life-threatening events ."
447,17c0af17d7012386181695de60d5d904,"['(15,20)', '(43,6)']","['cost of job creation', 'unwise']",Argument_against,minimum wage,Increasing the cost of job creation now is unwise .
448,787fde30938db93767648ad2919eab19,"['(30,13)']",['higher prices'],Argument_against,minimum wage,One potential effect could be higher prices at those businesses that now must pay their workers twice as much as before .
449,4c3d51202eb871683fc553772b6a42a9,"['(16,8)']",['bad idea'],Argument_against,minimum wage,This would be a bad idea .
450,6654b2bad7316d53255ea4e3149c6974,"['(74,21)', '(112,17)']","['hurt employment among', 'unskilled workers']",Argument_against,minimum wage,"By the 1980s , economists largely agreed that increasing the minimum wage hurt employment among teens and other unskilled workers ."
451,f264ea896456200ed654d19c68c9035b,"['(23,18)', '(42,7)', '(117,24)']","['Americans strongly', 'support', 'raising the minimum wage']",Argument_for,minimum wage,"Recent polls find that Americans strongly support ( seventy-three per cent in favor , twenty-five per cent against ) raising the minimum wage to $ 10.10 ."
452,e68248b56c042955ff24648a270859b2,"['(32,19)']",['raise annual income'],Argument_for,minimum wage,"The president ’s proposal would raise annual income by $ 3,500 for a full-time minimum-wage worker ."
453,72856e394089eba36f6046e513af32b5,"['(11,18)', '(30,5)']","['low wage employees', 'extra']",Argument_for,minimum wage,""" It gives low wage employees extra , "" Kaplan said ."
454,de762de8492b260b464842cd1894d4b2,"['(0,16)', '(62,11)', '(86,15)', '(149,13)']","['Scientific facts', 'legal sense', 'legal principle', 'right to life']",Argument_against,abortion,"Scientific facts are just too clear to deny , and it makes no legal sense to deny the legal principle , for if the law is not supposed to defend the right to life , what is it supposed to do ?"
455,466f8b677d6d86ee3b034214e4a4e60c,"['(41,16)', '(129,7)', '(140,13)']","[""mother 's choice"", 'killing', 'innocent life']",Argument_against,abortion,"The truth : The fact that it remains the mother 's choice to keep her baby , and most do , does nothing to justify the continued killing of innocent life in the womb ."
456,9ffcb4df405768e5a5e96ad5cf87df21,"['(3,4)', '(61,15)']","['deny', 'life is at risk']",Argument_for,abortion,To deny a woman the option to abort a pregnancy when her own life is at risk is akin to forcing her to play Russian roulette .
457,4d77f5b57707d1ee6fb92c075fb63711,['no_Aspect'],['no_Aspect'],Argument_against,abortion,"This undercuts even our weakest , least honest escape : to pretend that we do n't even know what an apple is , just so we have an excuse for pleading that we do n't know what an abortion is ."
458,4b6f7dae66afdea219ea2cd0f2a2986e,"['(0,17)', '(93,10)', '(107,3)', '(114,22)']","['Childless couples', 'preferable', 'IVF', 'surrogacy arrangements']",Argument_for,cloning,"Childless couples would be able to use cloning technology , and for many of them this may be preferable to IVF or surrogacy arrangements ."
459,01f32f47c2bc4acfdfb42f28f985b6e6,"['(55,8)', '(64,7)', '(76,9)']","['carrying', 'viruses', 'illnesses']",Argument_against,cloning,"The animals that would be brought back would likely be carrying viruses and illnesses that we are not immune to , or prepared to deal with ."
460,f6ad61ebba26c11584d289e4213a119c,"['(88,13)', '(183,6)', '(194,8)']","['human dignity', 'rights', 'freedoms']",Argument_against,cloning,"[ 35 , 36 ] As summarized by Deirk Ullrich in relation to law in Canada and Germany : "" human dignity is an indispensable compass in our continuing journey to promote and protect the rights and freedoms of the individual "" ."
461,4bd905ef8a1704128058723ac5ee769a,"['(80,4)', '(85,20)']","['vast', 'population increases']",Argument_against,cloning,"Furthermore , there are too many people on this planet now to even consider the vast population increases you are fantasizing about ."
462,73bbfc18fa7591030c0c362e7f5b4222,"['(26,15)']",['lot of what ifs'],Argument_against,cloning,Human cloning still has a lot of what ifs associated with it .
463,25e5a86d2b4cad9cc10ee94a398f5665,"['(46,21)']",['“ enhanced ” children'],Argument_for,cloning,"Third , the technique could be used to create “ enhanced ” children by cloning an individual considered excellent in some way ."
464,839d6386c005d25307a332ddeef75835,"['(0,13)']",['Individualism'],Argument_for,cloning,"Individualism will be maintained despite cloning , as "" clones "" will develop their own unique identities : Children produced by reproductive cloning will be ‘ clones ’ but not ‘ copies ’ of their parents : Different environmental factors , nurture , and the process of gestation mean that children will not be emotionally or mentally identical to the people from whom they are cloned ."
465,c8b9a613c043fa835a787eb5de1f5951,"['(297,10)', '(308,24)']","['developing', 'autonomy and aspirations']",Argument_against,cloning,"Even if a cloned child is not told of his origins , parents will , in the act of specifying their child ’s entire genome , be exercising control over their child ’s origins and identity that will shape the expectations they have for the child that could distort their own openness to the child ’s developing autonomy and aspirations ."
466,570be8f015de707edb868c37f481bbac,"['(27,17)']",['societal division'],Argument_against,cloning,"Also , it could create new societal division , where perfect clones would be treated in a different way than those who are naturally born ."
467,13faee1b21af5e86741d52290ea18cda,"['(28,6)', '(68,10)']","['mature', 'temptation']",Argument_for,gun control,We as humans simply are not mature enough to deal with that type of temptation .
468,67f73baa9660435b383a7ee134f883c0,"['(10,13)', '(182,19)', '(252,29)']","['Ronald Reagan', 'assault weapons ban', 'NRA supported the legislation']",Argument_for,gun control,"President Ronald Reagan and others did not think the AR-15 military rifle ( also called M16s by the Air Force ) should be owned by civilians and , when the AR-15 was included in the assault weapons ban of 1994 ( which expired on Sep. 13 , 2004 ) , the NRA supported the legislation ."
469,f74f4b0d001eb39a01a35b7408051e72,"['(36,19)', '(104,4)']","['killed by a firearm', 'home']",Argument_for,gun control,"7 Further , when a child or teen is killed by a firearm , the gun that killed them comes from their own home fully 72 percent of the time ."
470,2640f52153321a4d191a65f7e2e1b2a5,"['(106,27)', '(151,22)']","['perverted the 2nd Amendment', 'fantasies of rebellion']",Argument_for,gun control,"Our founding fathers understood this and , as I previously explained , it is the gun enthusiasts who have perverted the 2nd Amendment to justify their fantasies of rebellion ."
471,077048e68383becbf49605e46117107b,['no_Aspect'],['no_Aspect'],Argument_against,marijuana legalization,"In 1982 , President Ronald Reagan adopted a national drug strategy that took a comprehensive approach consisting of five components : international cooperation , research , strengthened law enforcement , treatment and rehabilitation , and prevention and education ."
472,81eaef178a9e189224a38bb84646bb0c,"['(26,10)', '(37,18)', '(110,9)']","['inherently', 'harmful properties', 'less safe']",Argument_against,marijuana legalization,"Even if one overlooks its inherently harmful properties , marijuana that is commonly sold is likely to be far less safe than that studied in the lab or elsewhere ."
473,c71c6f836b33e06f47f7eb227d59c49e,"['(234,21)', '(292,9)', '(306,14)']","['proposed recreational', 'oversight', 'accountability']",Argument_against,marijuana legalization,"Lauren Michaels , legislative affairs manager for the California Police Chiefs Association , which donated $ 20,000 to the campaign against Prop 64 , noted that her organization supports medical marijuana in the state but opposes the proposed recreational system because “ there ’s much less oversight and accountability for complying with state regulations . ”"
474,39d6e8416a0bbd6d7daac26053f5ed18,"['(58,14)', '(220,10)']","['10th Amendment', 'experiment']",Argument_for,marijuana legalization,"[ Huckabee ] I 'm willing to let states operate under the 10th Amendment , and I 'm willing for the states , if they think that marijuana and the legalization of it is a great thing , you know , I 'm willing for them to experiment and find out ."
475,9ecafb5bdc79d90aaba40d3f4c33d3fe,"['(98,12)', '(114,30)']","['scored lower', 'standardized achievement tests']",Argument_against,school uniforms,"They found , in fact , that the students they studied who were required to wear uniforms actually scored lower on standardized achievement tests than did a comparable group not required to wear them ."
476,e64721b481a67e64f3da4727ea600cbf,"['(33,15)']",['positive result'],Argument_against,marijuana legalization,"California will not see a single positive result if Proposition 19 passes , Feinstein said in a statement ."
477,d15d4b159ab2eb5cc0c75bda570d1520,"['(127,30)', '(173,6)', '(189,11)']","['recreational marijuana program', 'issues', 'adjustments']",Argument_for,marijuana legalization,"Pabon , the Colorado lawmaker , said he and his colleagues carefully studied the issue for months and were able to implement a recreational marijuana program with few major issues , making adjustments along the way as needed ."
478,e2add5ab338b3f62ecc582213c0f2cbe,"['(39,12)', '(92,11)']","['good feeling', 'feels awful']",Argument_for,marijuana legalization,"Oh yeah , sure being high may not be a good feeling for some people , that does n't mean it feels awful for everyone else ."
479,404b0bd9617fb2e7483ad24a01658be5,"['(4,7)', '(15,26)']","['dangers', 'secondhand cigarette smoke']",Argument_against,marijuana legalization,The dangers of secondhand cigarette smoke are well-publicized .
480,10eff1bc078a7728aef423a4f8be40f0,"['(20,5)']",['death'],Argument_for,gun control,More guns mean more death .
481,8abdef6bc9bd72ce448ea739aa37e810,"['(30,7)', '(42,18)', '(65,12)', '(151,18)']","['protect', 'right to bear arms', 'self-defense', 'right to bear arms']",Argument_against,gun control,"Constitutions in 37 US states protect the right to bear arms for self-defense , most with explicit language such as Alabama 's : "" every citizen has a right to bear arms in defense of himself and the state . """
482,85437191bbe466e0ac3e1ee5346c5d18,"['(28,17)']",['Dunblane Massacre'],Argument_for,gun control,"This was in response to the Dunblane Massacre , in which 43-year-old Thomas Hamilton walked into an elementary school and shot dead 16 children , aged six or younger , and one teacher before killing himself ."
483,d01981e1e54ee32634c0b35ef2dfe816,"['(53,11)', '(126,9)', '(142,9)', '(158,11)']","['regulations', 'potential', 'dangerous', 'regulations']",Argument_for,gun control,"The next time somebody draws comparisons between the regulations on guns and cars , simply suggest that , since both have the potential to be dangerous , the regulations on cars should be translated to analogous restrictions on guns ."
